BPA,Address,Description,PTS Existing Units,PTS Proposed Units,Proposed Units,Net Units,Net Units Completed,First Completion Date,Latest Completion Date,Extremely Low Income,Very Low Income,Low Income,Moderate Income,Moderate Income - NDR,Affordable Units,Market Rate,Affordable Units Estimate,Supervisor District,Analysis Neighborhood,Planning Dist.,Plan Area,Form No.,Permit Type,Issued Date,Authorization Date,Zoning District,Project Affordability Type,BlockLot,PPTS Project ID
200306106726,77 Bluxome St,erect a 7 stories 102 dwelling units bldg.,0,102,102,102,102,07/23/2008 12:00:00 AM,07/23/2008 12:00:00 AM,0,3,4,3,0,10,92,true,6,South of Market,9 - South of Market,Rincon Hill,1,Site Permit,03/10/2005 12:00:00 AM,08/24/2005 12:00:00 AM,CMUO,Inclu: On-Site BMR,3786019,2003.0366
200306237685,1277 Howard St,erect a five story seventeen unit residenital bldg.,0,17,17,17,17,08/08/2006 12:00:00 AM,08/08/2006 12:00:00 AM,0,1,1,1,0,3,14,true,6,South of Market,9 - South of Market,,2,Site Permit,12/24/2004 12:00:00 AM,03/15/2005 12:00:00 AM,WMUG,Inclu: On-Site BMR,3729076,2002.0909
200307119307,2125 BRYANT ST,"REVISION TO SITE APPL #200005099445s, NEW RESIDENTIAL OCCUPANCY FOR SITE PERMIT. REVISION 200005099445S/S1. REVISE TYPE OF CONSTRUCTION TO TYPE II 1 HR AND # OF STORIES TO 3 FROM PREVIOUS APPRVD PERMIT",0,53,53,53,53,11/24/2009 12:00:00 AM,11/24/2009 12:00:00 AM,0,3,4,3,0,10,43,true,9,Mission,8 - Mission,Mission Bay,3,Site Permit,11/07/2005 12:00:00 AM,07/17/2006 12:00:00 AM,UMU,Inclu: On-Site BMR,4080011,2003.0244
200307119310,2101 BRYANT ST,"REVISION TO APPROVED APPL.#200008057081, PROPOSED RESIDENTIAL UNITS ON ALL FLOORS",0,26,26,26,26,12/08/2009 12:00:00 AM,12/08/2009 12:00:00 AM,0,0,0,9,0,9,17,true,9,Mission,8 - Mission,Mission Bay,3,Site Permit,12/20/2005 12:00:00 AM,05/17/2007 12:00:00 AM,UMU,Inclu: On-Site BMR,4080007,
200307189860,2161 Sutter St,erect 4 stories of 24 dwelling unit,0,24,24,24,24,01/05/2007 12:00:00 AM,01/05/2007 12:00:00 AM,0,1,1,1,0,3,21,true,5,Japantown,5 - Western Addition,,2,Full BP,12/15/2004 12:00:00 AM,12/15/2004 12:00:00 AM,RM-3,Inclu: On-Site BMR,0682005,2006.0226
200309084039,3620 19th St,to erect a 4 stories of 17 family dwelling,0,19,19,19,19,11/05/2008 12:00:00 AM,11/05/2008 12:00:00 AM,0,0,0,5,0,5,14,true,8,Mission,8 - Mission,Mission District Streetscape Plan,2,Site Permit,08/14/2007 12:00:00 AM,08/14/2007 12:00:00 AM,RH-3,Inclu: On-Site BMR,3587018,2006.1424
200310036540,300 Broderick St,erect a 4 stories 70 unit residential & commercial bldg.,0,70,70,70,70,11/01/2007 12:00:00 AM,11/01/2007 12:00:00 AM,0,2,3,2,0,7,63,true,5,Hayes Valley,5 - Western Addition,,1,Site Permit,05/12/2004 12:00:00 AM,08/02/2004 12:00:00 AM,NCT,Inclu: On-Site BMR,1215011,2003.0223
200310066601,470 Clementina St,erect a 4 story 12 unit residential bldg.,0,12,12,12,12,06/09/2005 12:00:00 AM,06/09/2005 12:00:00 AM,0,0,1,0,0,1,11,true,6,South of Market,9 - South of Market,,2,Site Permit,06/03/2004 12:00:00 AM,06/08/2004 12:00:00 AM,MUR,Inclu: On-Site BMR,3732073,2003.0797
200310066606,475 Tehama St,erect a 4 story 12 unit residential bldg,0,12,12,12,12,04/25/2005 12:00:00 AM,04/25/2005 12:00:00 AM,0,0,0,1,0,1,11,true,6,South of Market,9 - South of Market,,2,Site Permit,06/11/2004 12:00:00 AM,06/11/2004 12:00:00 AM,MUR,Inclu: On-Site BMR,3732082,
200311079711,1725 Washington St,erect a five story sixteen unit residential bldg,0,16,16,16,16,05/10/2006 12:00:00 AM,05/10/2006 12:00:00 AM,0,1,1,1,0,3,13,true,3,Russian Hill,3 - Northeast,,2,Site Permit,08/27/2004 12:00:00 AM,12/17/2004 12:00:00 AM,NCD,Inclu: On-Site BMR,0619015,2003.0277
200311251076,4343 03rd St,"erect a four story, 16 unit residential bldg with commercial",0,16,16,16,16,05/13/2008 12:00:00 AM,05/13/2008 12:00:00 AM,0,1,1,1,0,3,13,true,10,Bayview Hunters Point,10 - South Bayshore,Bayview Hunters Point,2,Site Permit,09/03/2004 12:00:00 AM,10/29/2004 12:00:00 AM,NCD,Inclu: On-Site BMR,5278014,2003.0936
200312162438,50 Lansing St,erect an eight story eighty-two unit residential bldg,0,82,82,82,82,07/28/2006 12:00:00 AM,07/28/2006 12:00:00 AM,0,3,4,3,0,10,72,true,6,Financial District/South Beach,9 - South of Market,Rincon Hill,1,Site Permit,03/19/2004 12:00:00 AM,08/04/2004 12:00:00 AM,RH DTR,Inclu: On-Site BMR,3749011,2002.0446
200312243016,170 King St,"erect an 11 story, 198 unit mixed use building",0,198,198,198,198,11/29/2007 12:00:00 AM,11/29/2007 12:00:00 AM,0,0,0,24,0,24,174,true,6,Mission Bay,9 - South of Market,Mission Bay,1,Site Permit,08/09/2004 12:00:00 AM,11/10/2004 12:00:00 AM,MUO,Inclu: On-Site BMR,3794004,2002.0813
200401285107,1905 Mission St,"erect a five story, 24 unit residential bldg with coml",0,24,24,24,24,03/07/2007 12:00:00 AM,03/07/2007 12:00:00 AM,0,1,1,1,0,3,21,true,9,Mission,8 - Mission,,2,Site Permit,10/04/2005 12:00:00 AM,10/11/2005 12:00:00 AM,NCT,Inclu: On-Site BMR,3553030,2006.0230
200402236921,450 Rhode Island St,erect a 4 story 165 unit residential bldg with/parking/storage,0,165,165,165,165,10/29/2007 12:00:00 AM,10/29/2007 12:00:00 AM,0,0,0,20,0,20,145,true,10,Potrero Hill,9 - South of Market,Mission Bay,2,Site Permit,11/17/2005 12:00:00 AM,01/19/2006 12:00:00 AM,MUR,Inclu: On-Site BMR,3978001,2003.0018
200404232121,2815 Diamond St,erect a four story fifteen unit residential bldg with library and coml,0,15,15,15,15,11/16/2006 12:00:00 AM,11/16/2006 12:00:00 AM,0,1,1,1,0,3,12,true,8,Glen Park,7 - Central,Glen Park; Glen Park (superseded),2,Full BP,08/19/2004 12:00:00 AM,08/19/2004 12:00:00 AM,NCT,Inclu: On-Site BMR,6745027,2002.0124
200404272369,83 MCALLISTER ST,"CONVERT (E) 5 STORY, 1 BASEMENT UMB COMMERCIAL/RETAIL TO 5 STORY, 1 BASEMENT",0,60,60,60,60,02/01/2007 12:00:00 AM,02/01/2007 12:00:00 AM,0,0,0,6,0,6,54,true,5,Tenderloin,4 - Downtown,Downtown,3,Site Permit,07/28/2005 12:00:00 AM,03/15/2006 12:00:00 AM,C-3-G,Inclu: On-Site BMR,0351032,
200405063246,168 Hyde St,erect a four story thirty one unit residential bldg,0,31,31,31,31,08/08/2008 12:00:00 AM,08/08/2008 12:00:00 AM,0,1,1,1,0,3,28,true,5,Tenderloin,4 - Downtown,,2,Site Permit,12/20/2005 12:00:00 AM,05/15/2006 12:00:00 AM,RC-4,Inclu: On-Site BMR,0345012A,2004.1009
200405073300,1158 Sutter St,"renovation of existing commercial store, five story residential addition",0,14,14,14,14,06/25/2008 12:00:00 AM,06/25/2008 12:00:00 AM,0,1,1,1,0,3,11,true,3,Nob Hill,4 - Downtown,,3,Site Permit,06/26/2006 12:00:00 AM,11/10/2006 12:00:00 AM,NCD,Inclu: On-Site BMR,0669010,2004.0355
200405204458,566 South Van Ness Av,erect a new 32 unit 5 story res. bldng.,0,32,32,32,32,08/28/2007 12:00:00 AM,08/28/2007 12:00:00 AM,0,1,2,1,0,4,28,true,9,Mission,8 - Mission,,2,Site Permit,11/10/2005 12:00:00 AM,01/20/2006 12:00:00 AM,UMU,Inclu: On-Site BMR,3570005,2004.0458
200405214544,368 Elm St,to erect 28 dwelling units with 5 story bldg,0,28,28,28,28,02/02/2007 12:00:00 AM,02/02/2007 12:00:00 AM,0,0,0,3,0,3,25,true,2,Western Addition,5 - Western Addition,,2,Site Permit,02/07/2005 12:00:00 AM,05/31/2005 12:00:00 AM,NCT-3,Inclu: On-Site BMR,0761026,
200407169064,329 Bay St,erect a new residential/retail/parking,0,21,21,21,21,10/18/2007 12:00:00 AM,10/18/2007 12:00:00 AM,0,1,1,1,0,3,18,true,3,North Beach,3 - Northeast,,2,Site Permit,11/24/2004 12:00:00 AM,07/08/2005 12:00:00 AM,C-2,Inclu: On-Site BMR,0041036,2003.1152
200407269825,416 JESSIE ST,CONVERSION OF (E) BUILDING INTO 25 RESIDENTIAL UNITS WITH RESTAURANT  SPACE ON THE GROUND FLOOR. RESTAURANT T.I. UNDER SEPARATE PERMIT.,0,25,25,25,25,01/29/2014 12:00:00 AM,01/29/2014 12:00:00 AM,0,1,1,1,0,3,22,true,6,South of Market,4 - Downtown,Downtown,3,Full BP,10/12/2006 12:00:00 AM,10/12/2006 12:00:00 AM,C-3-G,Inclu: On-Site BMR,3704006,2003.1243
200407290138,201 Sansome St,"convert (e) office building into residential bulding per sec. 309, downtown permit review=20040551x*",0,46,46,46,46,07/13/2007 12:00:00 AM,07/13/2007 12:00:00 AM,0,2,2,2,0,6,40,true,3,Financial District/South Beach,4 - Downtown,Downtown,3,Site Permit,05/23/2005 12:00:00 AM,09/21/2005 12:00:00 AM,C-3-O,Inclu: On-Site BMR,0260005,2004.0551
200408262687,30 Dore St,"erect a five story, forty two unit, residential bldg with garage.",0,42,42,42,42,07/24/2007 12:00:00 AM,07/24/2007 12:00:00 AM,0,1,2,1,0,4,38,true,6,South of Market,9 - South of Market,,1,Site Permit,03/24/2005 12:00:00 AM,11/22/2005 12:00:00 AM,RED-MX,Inclu: On-Site BMR,3518024A,2004.0396
200409235044,1300 FILLMORE ST,ERECT A 13 STORY 80 UNIT RESIDENTIAL BLDG WITH COML AND GARAGE,0,80,80,80,80,05/16/2008 12:00:00 AM,05/16/2008 12:00:00 AM,0,0,0,12,0,12,68,true,5,Western Addition,5 - Western Addition,Geary Corridor,1,Site Permit,09/13/2005 12:00:00 AM,09/27/2005 12:00:00 AM,NCT,Inclu: On-Site BMR,0732032,
200409245134,808 VAN NESS AV,"ERECT 8 STORIES, 52 UNITS, 2 BASEMENTS RESIDENTIAL/COMMERCIAL BUILDING.",0,52,52,52,52,01/21/2009 12:00:00 AM,01/21/2009 12:00:00 AM,0,1,1,1,0,3,49,true,5,Tenderloin,4 - Downtown,Van Ness Corridor,1,Site Permit,10/30/2006 12:00:00 AM,02/21/2007 12:00:00 AM,RC-4,Inclu: Combination,0739006,2004.1164
200411098808,601 King St,"to erect 6 stories, 224 residential/retail/parking open space",0,224,224,224,224,07/11/2008 12:00:00 AM,07/11/2008 12:00:00 AM,0,0,0,170,0,170,54,true,10,Mission Bay,9 - South of Market,Mission Bay,1,Site Permit,10/11/2005 12:00:00 AM,12/23/2005 12:00:00 AM,UMU,Inclu: On-Site BMR,3800001,2004.1237
200411290175,1521 Sutter St,"to erect 5 stories, 28 dwellings of residential building.",0,28,28,28,28,05/28/2008 12:00:00 AM,05/28/2008 12:00:00 AM,0,0,0,3,0,3,25,true,5,Japantown,5 - Western Addition,Japantown,2,Full BP,11/08/2005 12:00:00 AM,11/08/2005 12:00:00 AM,RM-4,Inclu: On-Site BMR,0688020,2006.0871
200411300290,2351 Powell St,"propose to remodel level 3 to 5 from office space to rental units, o changes on 2nd fl. minor **",0,72,72,72,72,09/01/2006 12:00:00 AM,09/01/2006 12:00:00 AM,0,3,4,3,0,10,62,true,3,North Beach,3 - Northeast,,3,Full BP,09/15/2005 12:00:00 AM,09/15/2005 12:00:00 AM,C-2,Inclu: On-Site BMR,0031001,2003.1162
200412091097,2545 Judah St,"erect: one type5, four story, 15 dwelling units residential and 6 commercial building.",0,15,15,15,15,02/22/2008 12:00:00 AM,02/22/2008 12:00:00 AM,0,1,1,1,0,3,12,true,4,Sunset/Parkside,15 - Outer Sunset,,2,Site Permit,04/04/2006 12:00:00 AM,06/19/2006 12:00:00 AM,NCD,Inclu: On-Site BMR,1823051,2002.0229
200504140028,1234 Howard St,"to erect 5 stories, 18 dwelling residential units.",0,18,18,18,18,10/04/2007 12:00:00 AM,10/04/2007 12:00:00 AM,0,0,0,2,0,2,16,true,6,South of Market,4 - Downtown,,2,Site Permit,01/06/2006 12:00:00 AM,03/13/2006 12:00:00 AM,RED-MX,Inclu: On-Site BMR,3728014,2002.0954
200505021333,723 Taylor St,to erect 8 stories of 12 dwelling units.,0,12,12,12,12,01/05/2011 12:00:00 AM,01/05/2011 12:00:00 AM,0,0,1,0,0,1,11,true,3,Nob Hill,4 - Downtown,,1,Site Permit,07/20/2007 12:00:00 AM,12/13/2007 12:00:00 AM,RC-4,Inclu: On-Site BMR,0282004,2007.1177
200505182747,121 09th St,erect 5 stories 20 units residential/commercial building,0,20,20,20,20,07/28/2011 12:00:00 AM,07/28/2011 12:00:00 AM,0,0,2,1,0,3,17,true,6,South of Market,4 - Downtown,,2,Site Permit,02/05/2010 12:00:00 AM,05/25/2010 12:00:00 AM,RCD,Inclu: On-Site BMR,3728069,2005.0200
200506034112,901 BUSH ST,CORRECTING CITY RECORDS TO ESTABLISH USE AS 38 DWELLING UNITS,38,38,39,1,1,12/31/2008 12:00:00 AM,12/31/2008 12:00:00 AM,0,0,0,1,0,1,0,true,3,Nob Hill,4 - Downtown,,8,Full BP,06/03/2005 12:00:00 AM,06/03/2005 12:00:00 AM,RC-4,Inclu: On-Site BMR,0282001,2008.0588
200507137525,74 New Montgomery St,"convert (e) office bldg to residentail condos, changing occupancy from b to r-1.existing retail to remian @ g/f.demolition of interior non-structural portions.new structural upgrade/shearwall system & foundation.new walls & finishes throughout.new 1 story penthouse addition.bldg.facade to be cleaned",0,111,111,111,111,05/05/2009 12:00:00 AM,05/05/2009 12:00:00 AM,0,3,4,3,0,10,101,true,6,Financial District/South Beach,4 - Downtown,Yerba Buena,3,Site Permit,03/10/2006 12:00:00 AM,05/25/2006 12:00:00 AM,C-3-O(SD),Inclu: On-Site BMR,3707033,2004.0953
200509011813,537 Natoma St,to erect 13 dwelling unit with 4 story bldg,0,13,13,13,13,04/15/2013 12:00:00 AM,04/15/2013 12:00:00 AM,0,0,1,0,0,1,12,true,6,South of Market,4 - Downtown,Yerba Buena,2,Site Permit,06/21/2012 12:00:00 AM,05/29/2012 12:00:00 AM,RED,Inclu: On-Site BMR,3726047,2005.0990
200509021961,75 Moss St,"erect one 4story, type5, 14 units residential structure",0,14,14,14,14,05/15/2008 12:00:00 AM,05/15/2008 12:00:00 AM,0,0,1,0,0,1,13,true,6,South of Market,9 - South of Market,,2,Site Permit,03/06/2007 12:00:00 AM,06/06/2007 12:00:00 AM,RED,Inclu: On-Site BMR,3731058,2005.0734
